entity_name,Unnamed: 1,median_seconds_empty,total_pitches,arm_injury_2022,Player,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Robertson, David,17.371,493,0,David Robertson,"Robertson, David",502085,,,93.0,83.9,,84.8,,,,
Cabrera, Edward,17.392,585,1,Edward Cabrera,"Cabrera, Edward",665795,96.0,95.9,,86.9,92.4,83.8,,,,
Díaz, Edwin,17.393,373,0,Edwin Díaz,"Díaz, Edwin",621242,99.1,,,90.8,,,,,,
Boxberger, Brad,17.407,523,0,Brad Boxberger,"Boxberger, Brad",502202,92.7,,,87.3,81.2,,,,,
Mayers, Mike,17.417,398,0,Mike Mayers,"Mayers, Mike",594577,93.5,92.2,88.3,84.4,86.7,77.2,,,,
Anderson, Tyler,17.418,1071,0,Tyler Anderson,"Anderson, Tyler",542881,90.7,88.8,85.7,,79.0,73.2,,,,
Bumgarner, Madison,17.441,1227,0,Madison Bumgarner,"Bumgarner, Madison",518516,91.2,90.8,87.4,83.3,85.5,78.6,,,,
Civale, Aaron,17.45,737,1,Aaron Civale,"Civale, Aaron",650644,90.8,91.3,86.4,81.6,,75.9,85.5,,79.0,
Flexen, Chris,17.467,944,0,Chris Flexen,"Flexen, Chris",623167,91.7,90.4,87.4,81.2,81.1,74.6,,,80.2,
Jiménez, Joe,17.494,379,0,Joe Jiménez,"Jiménez, Joe",641729,95.7,95.6,,84.8,90.7,,,,,
Estévez, Carlos,17.559,448,0,Carlos Estévez,"Estévez, Carlos",608032,97.5,94.3,,87.3,88.4,83.9,,,,
Hill, Garrett,17.588,467,0,Garrett Hill,"Hill, Garrett",682051,92.0,91.4,,82.6,82.2,77.2,,,,
Richards, Trevor,17.595,543,0,Trevor Richards,"Richards, Trevor",670950,93.4,,,85.1,84.1,,,,,
Cole, Gerrit,17.599,1477,0,Gerrit Cole,"Cole, Gerrit",543037,97.8,98.6,92.0,88.7,89.7,83.0,,,,
Rucker, Michael,17.605,411,0,Michael Rucker,"Rucker, Michael",621074,94.7,95.0,88.4,86.1,90.0,80.6,,,,
Quintana, Jose,17.632,1234,0,Jose Quintana,"Quintana, Jose",500779,91.2,91.4,,,86.4,78.3,,,,78.6
Peralta, Freddy,17.632,660,0,Freddy Peralta,"Peralta, Freddy",642547,92.6,,,80.3,85.9,75.8,,,,
Hutchison, Drew,17.643,764,0,Drew Hutchison,"Hutchison, Drew",571800,92.4,92.7,,86.0,86.5,,,,,
Bubic, Kris,17.647,1040,0,Kris Bubic,"Bubic, Kris",663460,91.9,89.8,,,80.7,79.4,,,,
Logue, Zach,17.652,477,0,Zach Logue,"Logue, Zach",656657,90.1,87.5,85.9,,82.0,77.5,,,,
Greinke, Zack,17.661,1056,1,Zack Greinke,"Greinke, Zack",425844,89.2,89.5,85.8,81.8,86.5,72.0,,,,
Gray, Sonny,17.667,884,0,Sonny Gray,"Gray, Sonny",543243,92.1,92.0,88.8,83.2,87.1,78.7,,,81.6,
Carrasco, Carlos,17.695,1024,1,Carlos Carrasco,"Carrasco, Carlos",471911,93.2,91.9,,84.8,87.4,81.1,,,,
Martinez, Nick,17.727,761,0,Nick Martinez,"Martinez, Nick",607259,93.4,93.2,88.6,,79.7,81.7,,,,
Valdez, Framber,17.758,1356,0,Framber Valdez,"Valdez, Framber",664285,94.1,93.9,,83.0,88.8,79.2,,,,
Eovaldi, Nathan,17.767,742,0,Nathan Eovaldi,"Eovaldi, Nathan",543135,95.7,94.6,90.6,85.9,,78.3,87.8,,,
Sanchez, Aaron,17.81,460,0,Aaron Sanchez,"Sanchez, Aaron",592717,92.4,92.1,,,87.8,79.1,,,,
Hughes, Brandon,17.81,401,0,Brandon Hughes,"Hughes, Brandon",676714,93.2,93.1,,82.9,85.3,,,,,
Leiter Jr., Mark,17.845,503,0,Mark Leiter Jr.,"Leiter Jr., Mark",643410,91.1,90.9,87.4,79.4,,73.2,84.2,,,
Cimber, Adam,17.875,469,0,Adam Cimber,"Cimber, Adam",643256,86.5,86.5,,77.8,,,,,,
Lange, Alex,17.939,457,0,Alex Lange,"Lange, Alex",656638,95.5,96.2,,,89.7,85.5,,,,
Bassitt, Chris,17.943,1377,1,Chris Bassitt,"Bassitt, Chris",605135,93.2,92.8,89.0,82.7,85.4,71.6,,,75.2,
Fried, Max,18.031,1265,1,Max Fried,"Fried, Max",608331,94.0,93.6,,87.3,86.5,74.2,,,80.0,
Sampson, Adrian,18.08,776,1,Adrian Sampson,"Sampson, Adrian",592716,92.5,91.9,84.9,83.1,85.1,,,,,
Zimmermann, Bruce,18.105,493,0,Bruce Zimmermann,"Zimmermann, Bruce",669145,90.6,90.5,84.2,85.1,84.7,81.1,,,,
Kaprielian, James,18.114,1016,1,James Kaprielian,"Kaprielian, James",621076,94.0,94.4,85.8,85.0,85.2,79.3,,,,
Herget, Jimmy,18.136,483,1,Jimmy Herget,"Herget, Jimmy",623474,91.5,90.4,,83.2,84.3,74.8,,,,
Smith, Caleb,18.152,550,0,Caleb Smith,"Smith, Caleb",592761,91.9,93.2,,85.4,83.6,78.9,,,,
Pérez, Martín,18.191,1408,0,Martín Pérez,"Pérez, Martín",527048,92.9,92.6,89.9,84.5,84.4,78.8,,,,
Shaw, Bryan,18.194,439,0,Bryan Shaw,"Shaw, Bryan",543766,94.0,93.0,92.9,88.8,81.8,82.7,88.6,,84.0,
Hentges, Sam,18.246,403,1,Sam Hentges,"Hentges, Sam",656529,95.9,95.5,,88.0,,81.3,,,,
Wick, Rowan,18.249,484,0,Rowan Wick,"Wick, Rowan",592858,94.9,91.7,93.1,82.2,82.9,76.8,,,,
