Player,Tempo_23,Inj_23,total_pitches_empty,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
José Urquidy,14.762,1,280,"Urquidy, José",664353,93.1,93.7,,,86.1,79.6,,,80.6,
Cristian Javier,14.764,0,716,"Javier, Cristian",664299,92.7,,,80.8,83.7,76.6,,,79.5,
Matthew Liberatore,14.772,0,295,"Liberatore, Matthew",669461,94.2,94.3,94.4,86.6,87.3,76.6,,,,
Carlos Carrasco,14.783,1,256,"Carrasco, Carlos",471911,92.7,91.5,89.5,84.1,87.2,80.0,,,82.9,
Brandon Bielak,14.791,0,318,"Bielak, Brandon",656232,92.1,92.1,,,87.0,79.5,,,82.0,
Trevor Stephan,14.8,0,518,"Stephan, Trevor",663986,94.9,,,85.4,,,86.5,,,
Michael Wacha,14.805,1,557,"Wacha, Michael",608379,92.0,91.9,87.0,85.0,81.6,74.0,,,,
Erik Swanson,14.82,0,183,"Swanson, Erik",657024,93.7,,,86.6,,,85.1,,,
Sandy Alcantara,14.833,1,299,"Alcantara, Sandy",645261,98.0,97.6,,89.9,91.1,86.1,,,,
Max Fried,14.847,1,369,"Fried, Max",608331,94.0,93.5,87.5,85.0,86.2,74.2,,,81.7,
A.J. Minter,14.85,1,654,"Minter, A.J.",621345,95.8,,89.4,,86.6,,,,,
Aaron Civale,14.865,0,374,"Civale, Aaron",650644,91.8,92.4,87.7,82.5,,78.1,85.2,,81.3,
Andrew Nardi,14.873,1,878,"Nardi, Andrew",677053,94.6,,,82.7,90.0,,,,,
Luke Weaver,14.882,1,699,"Weaver, Luke",596133,94.0,93.6,90.3,86.5,86.1,81.7,,,83.5,
Génesis Cabrera,14.892,0,883,"Cabrera, Génesis",650893,96.0,95.4,89.6,,88.8,79.6,,,,
Carlos Rodón,14.939,1,662,"Rodón, Carlos",607074,95.3,,95.2,85.4,85.5,79.7,,,,
Andrew Heaney,14.942,0,258,"Heaney, Andrew",571760,92.5,,,82.0,84.0,79.0,,,,
Blake Snell,14.942,0,219,"Snell, Blake",605483,95.5,95.9,,88.4,86.7,81.0,,,,
Emmanuel Clase,14.943,0,401,"Clase, Emmanuel",661403,100.6,98.5,99.1,91.1,,,,,,
Grayson Rodriguez,14.945,0,250,"Rodriguez, Grayson",680570,97.4,,90.1,88.9,83.9,79.9,,,82.3,
Shohei Ohtani,14.973,0,982,"Ohtani, Shohei",660271,96.8,94.4,89.5,85.3,,75.7,88.2,,83.7,
Edward Cabrera,14.979,0,351,"Cabrera, Edward",665795,96.2,96.1,,88.2,92.9,84.6,,,,
Phil Bickford,14.993,0,355,"Bickford, Phil",641360,93.7,94.3,,83.9,87.5,,,,,
Clay Holmes,15.04,0,343,"Holmes, Clay",605280,95.7,96.0,,87.5,,,,,83.9,
Paul Sewald,15.06,0,335,"Sewald, Paul",623149,92.2,92.4,,,,,,,83.8,
Luis García,15.065,1,240,"García, Luis",472610,96.9,97.3,,83.4,,,88.2,,81.3,
Cionel Pérez,15.068,1,197,"Pérez, Cionel",672335,96.8,96.3,,88.0,,83.4,,,,83.9
David Robertson,15.073,0,642,"Robertson, David",502085,,93.8,93.3,85.1,87.7,84.4,,,,
David Bednar,15.091,0,629,"Bednar, David",670280,96.6,96.2,,,,77.9,91.6,,,
Drew Smith,15.102,0,239,"Smith, Drew",622098,95.0,94.7,87.4,84.3,85.4,76.7,,,,
Alex Lange,15.112,0,964,"Lange, Alex",656638,96.1,95.7,,,89.5,87.0,,,,
Camilo Doval,15.172,0,481,"Doval, Camilo",666808,99.2,97.9,99.8,88.9,,,,,,
James Kaprielian,15.173,1,282,"Kaprielian, James",621076,92.3,91.9,83.6,80.8,83.2,75.9,,,,
Tony Gonsolin,15.241,1,843,"Gonsolin, Tony",664062,92.4,93.3,,86.8,,80.9,83.0,,,
Ryne Stanek,15.268,0,203,"Stanek, Ryne",592773,98.2,,,88.6,,,89.2,,,
Jordan Romano,15.338,0,396,"Romano, Jordan",605447,96.7,,,86.9,,,,,,
José Leclerc,15.391,0,361,"Leclerc, José",600917,95.1,95.4,90.2,82.8,88.3,,,,,
Félix Bautista,15.425,1,198,"Bautista, Félix",642585,,99.5,,86.7,,,88.6,,,
Phil Maton,15.428,1,206,"Maton, Phil",664208,,88.3,89.0,,,73.8,,,79.7,
Alek Manoah,15.463,0,241,"Manoah, Alek",666201,92.8,92.7,,80.8,86.3,,,,,
Jorge López,15.471,0,622,"López, Jorge",605347,96.9,96.8,,88.5,88.9,84.1,,,,
Devin Williams,15.622,0,405,"Williams, Devin",642207,94.2,,90.7,,83.8,,,,,
Gregory Soto,15.714,0,331,"Soto, Gregory",642397,98.8,98.1,,87.9,92.2,,,,,
Yu Darvish,15.791,1,280,"Darvish, Yu",506433,94.7,94.3,90.9,85.7,82.3,76.3,89.2,,82.4,
Aaron Loup,15.922,1,284,"Loup, Aaron",571901,91.2,92.1,83.5,,79.7,75.7,,,,
Giovanny Gallegos,16.025,1,247,"Gallegos, Giovanny",606149,93.7,,,85.0,87.5,,,,,
Reynaldo López,16.049,0,237,"López, Reynaldo",625643,98.2,99.0,,87.9,88.5,80.5,,,,
Collin McHugh,16.495,1,667,"McHugh, Collin",543521,91.3,,89.0,,84.8,73.2,,,79.9,
Josh Hader,17.729,0,743,"Hader, Josh",623352,,96.1,,85.7,88.5,,,,,
